hapax,event_written
proceeding,1
consists,1
consist,1
pen,1
fir,1
fort,1
gin,0
noon,1
descend,1
firmament,1
wing,1
inhabit,1
mar,1
writ,1
abridged,1
plate,1
ridge,1
late,1
ani,1
tend,1
parted,1
provision,1
nearer,1
rot,1
create,1
dealing,1
frames,1
ark,0
grieve,1
halt,1
urge,1
engrave,1
require,0
lots,1
rope,1
sands,1
sheath,1
blade,0
shrunk,1
train,1
keys,1
engraving,1
rage,1
dimmed,1
herewith,1
aha,1
occupy,1
forgot,0
net,1
burst,1
frankly,1
dress,1
lit,1
beckoned,0
tended,1
clinging,0
mocking,0
scoffing,0
road,0
special,1
content,1
shoe,0
unloose,1
hoe,1
bethabara,1
dwindling,1
compare,0
snow,1
virgins,1
sees,1
sheddeth,1
joyous,1
evils,1
slaughters,0
rations,1
tumbling,1
earthquake,1
lightning,1
disciple,1
filth,1
blindeth,0
tortureth,0
yoketh,0
saint,1
silk,1
harlot,0
proceedeth,0
containeth,0
mixture,0
stab,1
blocks,0
dominions,0
disputing,1
grafting,1
darts,1
dart,1
energies,1
swallow,0
preparator,0
cutteth,1
upright,1
soever,1
southeast,1
early,1
fatigued,1
spring,1
complaining,1
stick,0
murmuring,1
hasten,0
chaste,0
pointers,1
nahom,1
hung,1
tells,1
irreantum,1
antum,1
cook,0
instruct,0
lacking,0
big,0
joyed,1
esteemeth,0
ruleth,0
straiten,0
straitened,0
simple,0
ripeness,0
reed,1
shock,0
loading,1
treat,1
harsh,0
wrists,1
ankles,1
soreness,1
anyone,1
beds,1
threaten,1
threatening,1
grey,1
hairs,1
watery,1
tear,1
calm,1
horse,1
animal,1
loving,0
neum,1
isle,0
suffers,0
groan,0
won,1
joints,0
obstinate,0
sinew,0
brow,0
knewest,0
treacherously,0
defer,0
refine,1
spanned,0
offspring,0
gravel,0
thirsted,0
deserts,0
clave,0
gushed,0
pastors,0
list,1
polished,0
shaft,1
harp,1
abhor,0
helped,0
heritages,0
heritage,0
pastures,0
prisoner,1
sinim,0
passion,1
palms,0
destroyers,0
bride,0
removing,0
appears,0
nursed,0
moles,1
visitations,0
chain,0
cold,0
silent,0
traveler,0
weigh,1
determine,1
incur,0
manifesting,0
commanding,0
childhood,0
firstfruits,0
inflicting,0
insensibility,0
vanished,0
owls,1
enticed,0
entice,0
innocence,0
captivate,0
freed,1
edom,1
confounding,0
dying,0
admonitions,0
admonition,1
writeth,0
exclaimeth,0
wretched,0
groaneth,0
nighttime,0
linger,0
droop,0
liberally,0
amiss,0
thinks,1
sisters,1
warnings,1
ites,1
construction,1
lights,1
mixeth,1
mischief,0
engraved,1
eased,1
stiffened,0
stiffen,0
bill,0
creditors,0
shortened,0
smiter,0
feareth,0
obeyeth,0
walketh,0
spark,1
sarah,0
melody,0
abolished,0
abolish,0
neat,0
wool,0
rahab,0
dragon,1
ransomed,0
ransom,1
comforteth,0
forgettest,0
exile,0
hasteneth,0
roared,0
wrung,0
bull,0
street,0
fain,1
pleadeth,0
dies,1
transformeth,0
beguile,1
guile,1
enjoyment,0
leanness,1
assured,1
rims,1
brim,0
endured,0
crosses,0
delivereth,0
satisfieth,0
wasteth,0
vainness,0
frailties,0
deliberately,0
killeth,0
liberate,0
transgressing,0
carnally,0
keeper,0
employeth,0
perfectness,0
reality,0
thirsteth,0
fatness,0
reconcile,0
proveth,0
typifying,0
shares,0
pruning,0
hooks,0
replenished,0
boweth,0
oaks,0
bashan,0
oak,0
tarshish,0
pictures,0
caves,0
bats,0
clefts,0
ragged,1
nostrils,0
artificer,0
eloquent,0
orator,0
behave,0
proudly,0
base,1
ruin,0
healer,0
ruined,0
wanton,0
mincing,0
scab,0
crown,0
cauls,0
tires,0
brave,1
mufflers,0
bonnets,0
headbands,0
tablets,0
nose,0
mantles,0
wimples,0
crisping,0
pins,0
glasses,0
hoods,0
veils,0
glass,0
asses,1
smell,0
baldness,0
stomacher,0
girding,0
excel,1
wash,1
purge,0
assemblies,0
shining,0
covert,0
choicest,0
horn,0
acres,0
bath,0
homer,0
ephah,0
inflame,0
viol,0
tabret,0
pipe,0
feasts,0
operation,0
famished,0
lambs,0
vanity,0
cart,0
devoureth,0
rottenness,0
torn,0
carcass,1
swiftly,0
shoes,0
wheels,0
posts,0
undone,0
flew,0
coal,0
tongs,0
forsaking,0
teil,0
leaves,0
jotham,0
pekah,0
shearjashub,0
conduit,0
upper,0
pool,0
tails,0
smoking,0
firebrands,0
breach,0
tabeal,0
score,0
abhorrest,0
bushes,0
shave,1
razor,0
beard,0
vines,0
silverlings,0
mattock,0
treading,0
uriah,0
zechariah,0
jeberechiah,0
prophetess,0
refuseth,0
shiloah,0
softly,0
channels,0
stretching,0
breadth,0
associate,0
snared,0
wizards,0
peep,0
mutter,0
hardly,0
bestead,0
fret,0
upward,1
vexation,0
zebulun,0
naphtali,0
grievously,0
galilee,0
shined,0
increased,0
warrior,1
lighted,1
stoutness,0
bricks,0
sycamores,0
syrians,0
turneth,0
evildoer,0
folly,0
burneth,0
thicket,1
grievousness,0
prescribed,0
hypocritical,0
howbeit,0
altogether,0
calno,0
carchemish,0
arpad,0
nest,1
eggs,0
peeped,0
heweth,0
shaketh,0
bearer,0
fainteth,0
oreb,0
anointing,0
aiath,0
migron,0
michmash,0
carriages,0
lodging,0
geba,0
ramath,0
gibeah,0
saul,0
gallim,0
laish,0
anathoth,0
hot,1
madmenah,0
gebim,0
nob,1
lop,0
bough,0
stem,0
pathros,0
cush,0
elam,1
shinar,0
corner,0
moab,0
streams,0
shod,0
comfortedest,0
wells,1
banner,0
nobles,0
mustereth,0
pangs,0
constellations,0
arrogancy,0
wedge,0
ophir,0
chased,0
roe,0
ravished,0
medes,0
chaldees,0
excellency,0
overthrew,0
gomorrah,0
arabian,0
shepherds,0
doleful,0
satyrs,0
palaces,0
handmaids,0
proverb,0
scepters,0
ruled,0
hindereth,0
hinder,1
feller,0
viols,0
lucifer,0
weaken,0
congregation,0
narrowly,0
doers,0
renowned,0
nephew,0
bittern,1
pools,0
besom,0
disannul,0
dissolved,0
confine,1
foretold,0
source,0
misunderstand,0
crush,1
powder,0
camped,0
instant,0
stumbled,0
flaxen,0
invite,0
devouring,0
distress,1
empty,0
appetite,0
stagger,0
seers,0
rejecteth,0
seem,1
upside,0
potter,0
scorner,0
offender,0
reproveth,0
erred,1
lull,0
prospereth,0
cheateth,0
carefully,0
flattereth,0
grasps,0
grasped,0
seized,0
trembleth,0
covenanteth,0
scales,0
witnesseth,1
straitness,1
narrowness,1
acting,1
deception,1
witnessing,1
stoppeth,1
carrieth,1
pillow,1
harshly,1
happen,1
wielded,1
practices,0
errand,0
answering,0
healeth,0
burdeneth,0
consoling,0
daggers,0
piercing,0
plentifully,0
providence,0
smiled,0
pleasingly,0
costliness,0
abundant,1
mile,1
dens,1
tenderness,0
confidence,0
sobbings,0
observance,0
whiter,0
larger,0
contempt,0
worshiped,0
similitude,0
unsearchable,0
counseleth,0
presented,0
shoot,0
sprung,0
moisture,0
comest,0
poorest,0
poorer,0
sorts,0
sort,1
cumbered,0
slackened,0
trim,0
grafts,0
size,0
mights,0
thrive,0
stretches,0
gainsaying,0
cleaveth,0
striketh,0
strike,1
unity,1
goes,0
blasphemy,1
deniest,1
devise,1
conquerors,1
conclude,1
lonesome,1
obedience,1
reader,1
adieu,1
nurture,1
wrestle,1
wrest,0
kneeled,1
knee,1
struggling,0
shaven,1
mete,0
reminding,1
deafness,1
communion,1
union,1
profaned,1
machinery,1
persuading,1
prick,1
writings,1
preachings,1
moons,1
severity,1
survive,1
christs,1
preachers,1
preacher,1
helorum,0
proclaim,1
blot,1
adulterous,0
unfaithful,0
incurred,0
firstlings,1
consisting,1
trifle,0
infirm,1
lending,0
supporting,0
requires,0
secondly,0
attempting,0
pronounced,0
lively,0
curing,0
pore,0
rebelleth,0
shadows,0
infant,0
infancy,0
yields,0
consign,1
signed,1
viewed,0
apply,0
worthless,0
injure,1
peaceably,0
quarrel,1
interest,0
beggars,0
begged,0
stopped,1
dependent,0
prize,0
stations,1
charges,1
burdensome,1
teasings,1
start,1
helem,0
taxed,0
effectual,0
exact,1
reasons,0
wondereth,0
ruins,0
pled,1
breastplate,1
hilts,0
blades,0
cankered,0
canker,1
revelator,0
impenetrable,0
